month,level_1,level_2,level_3,level_4,value
1992-08,M3,M2,Quasi-money,Fixed Deposits,44175
1992-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,704.4
1992-08,M3,M2,Quasi-money,Savings & Other Deposits,12510.3
1992-09,M3,M2,M1,Currency In Active Circulation,7918.9
1992-09,M3,M2,M1,Demand Deposits,10292.3
1992-09,M3,M2,Quasi-money,Fixed Deposits,43577.9
1992-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,704.2
1992-09,M3,M2,Quasi-money,Savings & Other Deposits,12640.8
1992-10,M3,M2,M1,Currency In Active Circulation,8075.3
1992-10,M3,M2,M1,Demand Deposits,9877.7
1992-10,M3,M2,Quasi-money,Fixed Deposits,43819.9
1992-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,704.2
1992-10,M3,M2,Quasi-money,Savings & Other Deposits,12842.9
1992-11,M3,M2,M1,Currency In Active Circulation,8095.5
1992-11,M3,M2,M1,Demand Deposits,9844
1992-11,M3,M2,Quasi-money,Fixed Deposits,43604.6
1992-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,738.2
1992-11,M3,M2,Quasi-money,Savings & Other Deposits,13024.7
1992-12,M3,M2,M1,Currency In Active Circulation,8157.3
1992-12,M3,M2,M1,Demand Deposits,9905.1
1992-12,M3,M2,Quasi-money,Fixed Deposits,43176.4
1992-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,741.1
1992-12,M3,M2,Quasi-money,Savings & Other Deposits,13108.2
1993-01,M3,M2,M1,Currency In Active Circulation,8125.4
1993-01,M3,M2,M1,Demand Deposits,9823.1
1993-01,M3,M2,Quasi-money,Fixed Deposits,41987.9
1993-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,753.8
1993-01,M3,M2,Quasi-money,Savings & Other Deposits,13192.7
1993-02,M3,M2,M1,Currency In Active Circulation,8189.5
1993-02,M3,M2,M1,Demand Deposits,10307
1993-02,M3,M2,Quasi-money,Fixed Deposits,41774
1993-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,740.3
1993-02,M3,M2,Quasi-money,Savings & Other Deposits,13268.1
1993-03,M3,M2,M1,Currency In Active Circulation,8223
1993-03,M3,M2,M1,Demand Deposits,10380
1993-03,M3,M2,Quasi-money,Fixed Deposits,42543.3
1993-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,740.3
1993-03,M3,M2,Quasi-money,Savings & Other Deposits,13545.8
1993-04,M3,M2,M1,Currency In Active Circulation,8332.3
1993-04,M3,M2,M1,Demand Deposits,10908.8
1993-04,M3,M2,Quasi-money,Fixed Deposits,42337.2
1993-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,721.8
1993-04,M3,M2,Quasi-money,Savings & Other Deposits,13697.9
1993-05,M3,M2,M1,Currency In Active Circulation,8427
1993-05,M3,M2,M1,Demand Deposits,10919
1993-05,M3,M2,Quasi-money,Fixed Deposits,43007.1
1993-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,721.5
1993-05,M3,M2,Quasi-money,Savings & Other Deposits,14085
1993-06,M3,M2,M1,Currency In Active Circulation,8436.1
1993-06,M3,M2,M1,Demand Deposits,10892.1
1993-06,M3,M2,Quasi-money,Fixed Deposits,42365.5
1993-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,832.5
1993-06,M3,M2,Quasi-money,Savings & Other Deposits,14206.8
1993-07,M3,M2,M1,Currency In Active Circulation,8552.3
1993-07,M3,M2,M1,Demand Deposits,11053.1
1993-07,M3,M2,Quasi-money,Fixed Deposits,42344.6
1993-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,858
1993-07,M3,M2,Quasi-money,Savings & Other Deposits,14270.3
1993-08,M3,M2,M1,Currency In Active Circulation,8573.8
1993-08,M3,M2,M1,Demand Deposits,11412.5
1993-08,M3,M2,Quasi-money,Fixed Deposits,42736.7
1993-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,854.4
1993-08,M3,M2,Quasi-money,Savings & Other Deposits,14491.9
1993-09,M3,M2,M1,Currency In Active Circulation,8577.5
1993-09,M3,M2,M1,Demand Deposits,11654.8
1993-09,M3,M2,Quasi-money,Fixed Deposits,42919.5
1993-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,836
1993-09,M3,M2,Quasi-money,Savings & Other Deposits,14941.7
1993-10,M3,M2,M1,Currency In Active Circulation,8643.8
1993-10,M3,M2,M1,Demand Deposits,16872.9
1993-10,M3,M2,Quasi-money,Fixed Deposits,39352.9
1993-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,822
1993-10,M3,M2,Quasi-money,Savings & Other Deposits,16158.2
1993-11,M3,M2,M1,Currency In Active Circulation,8711.8
1993-11,M3,M2,M1,Demand Deposits,13493.3
1993-11,M3,M2,Quasi-money,Fixed Deposits,41412.3
1993-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,834.9
1993-11,M3,M2,Quasi-money,Savings & Other Deposits,16989.8
1993-12,M3,M2,M1,Currency In Active Circulation,8833
1993-12,M3,M2,M1,Demand Deposits,13586.4
1993-12,M3,M2,Quasi-money,Fixed Deposits,40321
1993-12,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,835.4
1993-12,M3,M2,Quasi-money,Savings & Other Deposits,17861.1
1994-01,M3,M2,M1,Currency In Active Circulation,8694.8
1994-01,M3,M2,M1,Demand Deposits,13231.3
1994-01,M3,M2,Quasi-money,Fixed Deposits,40617.7
1994-01,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,837.4
1994-01,M3,M2,Quasi-money,Savings & Other Deposits,16863.2
1994-02,M3,M2,M1,Currency In Active Circulation,8751.6
1994-02,M3,M2,M1,Demand Deposits,13238.3
1994-02,M3,M2,Quasi-money,Fixed Deposits,41442.6
1994-02,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,678.2
1994-02,M3,M2,Quasi-money,Savings & Other Deposits,16572.1
1994-03,M3,M2,M1,Currency In Active Circulation,8901.8
1994-03,M3,M2,M1,Demand Deposits,13366.5
1994-03,M3,M2,Quasi-money,Fixed Deposits,42930.2
1994-03,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,666.7
1994-03,M3,M2,Quasi-money,Savings & Other Deposits,16115.7
1994-04,M3,M2,M1,Currency In Active Circulation,8942
1994-04,M3,M2,M1,Demand Deposits,12547.1
1994-04,M3,M2,Quasi-money,Fixed Deposits,44971
1994-04,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,665.7
1994-04,M3,M2,Quasi-money,Savings & Other Deposits,15977.4
1994-05,M3,M2,M1,Currency In Active Circulation,8966.5
1994-05,M3,M2,M1,Demand Deposits,13170.9
1994-05,M3,M2,Quasi-money,Fixed Deposits,46239.8
1994-05,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,588.2
1994-05,M3,M2,Quasi-money,Savings & Other Deposits,15932.5
1994-06,M3,M2,M1,Currency In Active Circulation,9030.7
1994-06,M3,M2,M1,Demand Deposits,13436.3
1994-06,M3,M2,Quasi-money,Fixed Deposits,46828.5
1994-06,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,588.2
1994-06,M3,M2,Quasi-money,Savings & Other Deposits,16032.9
1994-07,M3,M2,M1,Currency In Active Circulation,9127.4
1994-07,M3,M2,M1,Demand Deposits,13337.1
1994-07,M3,M2,Quasi-money,Fixed Deposits,48700.8
1994-07,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,557.7
1994-07,M3,M2,Quasi-money,Savings & Other Deposits,16026.9
1994-08,M3,M2,M1,Currency In Active Circulation,9122
1994-08,M3,M2,M1,Demand Deposits,13757.6
1994-08,M3,M2,Quasi-money,Fixed Deposits,48915.4
1994-08,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,566.7
1994-08,M3,M2,Quasi-money,Savings & Other Deposits,16404
1994-09,M3,M2,M1,Currency In Active Circulation,9253.4
1994-09,M3,M2,M1,Demand Deposits,14106.3
1994-09,M3,M2,Quasi-money,Fixed Deposits,49811.9
1994-09,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,561.7
1994-09,M3,M2,Quasi-money,Savings & Other Deposits,16599
1994-10,M3,M2,M1,Currency In Active Circulation,9319.1
1994-10,M3,M2,M1,Demand Deposits,14261.6
1994-10,M3,M2,Quasi-money,Fixed Deposits,49671.2
1994-10,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,611.7
1994-10,M3,M2,Quasi-money,Savings & Other Deposits,16785.4
1994-11,M3,M2,M1,Currency In Active Circulation,9253.6
1994-11,M3,M2,M1,Demand Deposits,14103.4
1994-11,M3,M2,Quasi-money,Fixed Deposits,52489.3
1994-11,M3,M2,Quasi-money,S$ Negotiable Certificate Of Deposits,596.2
1994-11,M3,M2,Quasi-money,Savings & Other Deposits,16176
1994-12,M3,M2,M1,Currency In Active Circulation,9330
1994-12,M3,M2,M1,Demand Deposits,13737.7
