half_year,level_1,level_2,value
1999-H1,All Items,Clothing & Footwear,93.858
1999-H1,All Items,Housing & Utilities,69.122
1999-H1,All Items,Household Durables & Services,85.103
1999-H1,All Items,Health Care,61.458
1999-H1,All Items,Transport,76.514
1999-H1,All Items,Communication,113.864
1999-H1,All Items,Recreation & Culture,86.856
1999-H1,All Items,Education,54.007
1999-H1,All Items,Miscellaneous Goods & Services,69.833
1999-H2,All Items,Food,68.033
1999-H2,All Items,Food Excl Food Serving Services,65.148
1999-H2,All Items,Food Serving Services,70.239
1999-H2,All Items,Clothing & Footwear,91.981
1999-H2,All Items,Housing & Utilities,69.53
1999-H2,All Items,Household Durables & Services,84.791
1999-H2,All Items,Health Care,61.437
1999-H2,All Items,Transport,79.504
1999-H2,All Items,Communication,113.65
1999-H2,All Items,Recreation & Culture,86.37
1999-H2,All Items,Education,54.279
1999-H2,All Items,Miscellaneous Goods & Services,70.229
2000-H1,All Items,Food,68.468
2000-H1,All Items,Food Excl Food Serving Services,65.877
2000-H1,All Items,Food Serving Services,70.438
2000-H1,All Items,Clothing & Footwear,91.281
2000-H1,All Items,Housing & Utilities,70.632
2000-H1,All Items,Household Durables & Services,84.436
2000-H1,All Items,Health Care,61.909
2000-H1,All Items,Transport,80.045
2000-H1,All Items,Communication,111.546
2000-H1,All Items,Recreation & Culture,86.863
2000-H1,All Items,Education,54.864
2000-H1,All Items,Miscellaneous Goods & Services,71.069
2000-H2,All Items,Food,68.052
2000-H2,All Items,Food Excl Food Serving Services,64.789
2000-H2,All Items,Food Serving Services,70.56
2000-H2,All Items,Clothing & Footwear,92.811
2000-H2,All Items,Housing & Utilities,72.949
2000-H2,All Items,Household Durables & Services,84.336
2000-H2,All Items,Health Care,62.624
2000-H2,All Items,Transport,79.686
2000-H2,All Items,Communication,108.776
2000-H2,All Items,Recreation & Culture,87.803
2000-H2,All Items,Education,56.395
2000-H2,All Items,Miscellaneous Goods & Services,71.959
2001-H1,All Items,Food,68.728
2001-H1,All Items,Food Excl Food Serving Services,65.566
2001-H1,All Items,Food Serving Services,71.154
2001-H1,All Items,Clothing & Footwear,92.205
2001-H1,All Items,Housing & Utilities,73.595
2001-H1,All Items,Household Durables & Services,84.077
2001-H1,All Items,Health Care,63.904
2001-H1,All Items,Transport,77.214
2001-H1,All Items,Communication,107.653
2001-H1,All Items,Recreation & Culture,89.082
2001-H1,All Items,Education,57.047
2001-H1,All Items,Miscellaneous Goods & Services,74.033
2001-H2,All Items,Food,68.367
2001-H2,All Items,Food Excl Food Serving Services,64.507
2001-H2,All Items,Food Serving Services,71.353
2001-H2,All Items,Clothing & Footwear,92.472
2001-H2,All Items,Housing & Utilities,72.507
2001-H2,All Items,Household Durables & Services,83.946
2001-H2,All Items,Health Care,64.33
2001-H2,All Items,Transport,76.629
2001-H2,All Items,Communication,106.86
2001-H2,All Items,Recreation & Culture,89.539
2001-H2,All Items,Education,58.513
2001-H2,All Items,Miscellaneous Goods & Services,74.666
2002-H1,All Items,Food,68.69
2002-H1,All Items,Food Excl Food Serving Services,64.592
2002-H1,All Items,Food Serving Services,71.866
2002-H1,All Items,Clothing & Footwear,91.642
2002-H1,All Items,Housing & Utilities,71.32
2002-H1,All Items,Household Durables & Services,83.434
2002-H1,All Items,Health Care,65.587
2002-H1,All Items,Transport,76.422
2002-H1,All Items,Communication,107.059
2002-H1,All Items,Recreation & Culture,89.443
2002-H1,All Items,Education,58.717
2002-H1,All Items,Miscellaneous Goods & Services,74.796
2002-H2,All Items,Food,68.479
2002-H2,All Items,Food Excl Food Serving Services,64.029
2002-H2,All Items,Food Serving Services,71.937
2002-H2,All Items,Clothing & Footwear,93.991
2002-H2,All Items,Housing & Utilities,71.952
2002-H2,All Items,Household Durables & Services,83.281
2002-H2,All Items,Health Care,66.507
2002-H2,All Items,Transport,76.202
2002-H2,All Items,Communication,106.994
2002-H2,All Items,Recreation & Culture,89.281
2002-H2,All Items,Education,59.478
2002-H2,All Items,Miscellaneous Goods & Services,73.693
2003-H1,All Items,Food,68.934
2003-H1,All Items,Food Excl Food Serving Services,64.654
2003-H1,All Items,Food Serving Services,72.256
2003-H1,All Items,Clothing & Footwear,92.894
2003-H1,All Items,Housing & Utilities,71.805
2003-H1,All Items,Household Durables & Services,82.97
2003-H1,All Items,Health Care,67.041
2003-H1,All Items,Transport,76.137
2003-H1,All Items,Communication,108.455
2003-H1,All Items,Recreation & Culture,88.543
2003-H1,All Items,Education,60.084
2003-H1,All Items,Miscellaneous Goods & Services,76.529
2003-H2,All Items,Food,69.074
2003-H2,All Items,Food Excl Food Serving Services,64.782
2003-H2,All Items,Food Serving Services,72.405
2003-H2,All Items,Clothing & Footwear,93.737
2003-H2,All Items,Housing & Utilities,71.771
2003-H2,All Items,Household Durables & Services,82.894
2003-H2,All Items,Health Care,67.411
2003-H2,All Items,Transport,75.802
2003-H2,All Items,Communication,108.33
2003-H2,All Items,Recreation & Culture,87.434
2003-H2,All Items,Education,61.958
2003-H2,All Items,Miscellaneous Goods & Services,79.884
2004-H1,All Items,Food,69.982
2004-H1,All Items,Food Excl Food Serving Services,66.182
2004-H1,All Items,Food Serving Services,72.916
2004-H1,All Items,Clothing & Footwear,93.347
2004-H1,All Items,Housing & Utilities,71.066
2004-H1,All Items,Household Durables & Services,83.63
2004-H1,All Items,Health Care,71.156
2004-H1,All Items,Transport,75.757
2004-H1,All Items,Communication,108.278
2004-H1,All Items,Recreation & Culture,89.367
2004-H1,All Items,Education,62.788
