half_year,level_1,level_2,value
2019-H2,All Items,Recreation & Culture,99.935
2019-H2,All Items,Education,100.298
2019-H2,All Items,Miscellaneous Goods & Services,99.995
2020-H1,All Items,Food,101.568
2020-H1,All Items,Food Excl Food Serving Services,102.539
2020-H1,All Items,Food Serving Services,101.103
2020-H1,All Items,Clothing & Footwear,97.613
2020-H1,All Items,Housing & Utilities,99.863
2020-H1,All Items,Household Durables & Services,100.095
2020-H1,All Items,Health Care,98.055
2020-H1,All Items,Transport,99.02
2020-H1,All Items,Communication,100.136
2020-H1,All Items,Recreation & Culture,98.518
2020-H1,All Items,Education,98.763
2020-H1,All Items,Miscellaneous Goods & Services,99.241
2020-H2,All Items,Food,102.102
2020-H2,All Items,Food Excl Food Serving Services,103.162
2020-H2,All Items,Food Serving Services,101.594
2020-H2,All Items,Clothing & Footwear,94.338
2020-H2,All Items,Housing & Utilities,99.478
2020-H2,All Items,Household Durables & Services,100.483
2020-H2,All Items,Health Care,97.868
2020-H2,All Items,Transport,100.132
2020-H2,All Items,Communication,101.242
2020-H2,All Items,Recreation & Culture,98.382
2020-H2,All Items,Education,99.098
2020-H2,All Items,Miscellaneous Goods & Services,98.481
2021-H1,All Items,Food,102.813
2021-H1,All Items,Food Excl Food Serving Services,103.891
2021-H1,All Items,Food Serving Services,102.296
2021-H1,All Items,Clothing & Footwear,91.99
2021-H1,All Items,Housing & Utilities,100.155
2021-H1,All Items,Household Durables & Services,101.29
2021-H1,All Items,Health Care,98.58
2021-H1,All Items,Transport,105.341
2021-H1,All Items,Communication,100.639
2021-H1,All Items,Recreation & Culture,98.769
2021-H1,All Items,Education,99.68
2021-H1,All Items,Miscellaneous Goods & Services,98.515
