year,level_1,level_2,value
2007,All Items,Clothing & Footwear,94.84
2007,All Items,Housing & Utilities,75.397
2007,All Items,Household Durables & Services,80.365
2007,All Items,Health Care,75.327
2007,All Items,Transport,75.127
2007,All Items,Communication,106.783
2007,All Items,Recreation & Culture,91.823
2007,All Items,Education,69.089
2007,All Items,Miscellaneous Goods & Services,91.324
2008,All Items,Food,80.175
2008,All Items,Food Excl Food Serving Services,79.351
2008,All Items,Food Serving Services,80.731
2008,All Items,Clothing & Footwear,96.227
2008,All Items,Housing & Utilities,86.639
2008,All Items,Household Durables & Services,82.328
2008,All Items,Health Care,79.472
2008,All Items,Transport,78.459
2008,All Items,Communication,106.998
2008,All Items,Recreation & Culture,95.037
2008,All Items,Education,72.265
2008,All Items,Miscellaneous Goods & Services,93.085
2009,All Items,Food,82.005
2009,All Items,Food Excl Food Serving Services,81.295
2009,All Items,Food Serving Services,82.491
2009,All Items,Clothing & Footwear,97.119
2009,All Items,Housing & Utilities,89.221
2009,All Items,Household Durables & Services,83.202
2009,All Items,Health Care,80.896
2009,All Items,Transport,76.06
2009,All Items,Communication,107.203
2009,All Items,Recreation & Culture,94.141
2009,All Items,Education,72.571
2009,All Items,Miscellaneous Goods & Services,93.366
2010,All Items,Food,83.124
2010,All Items,Food Excl Food Serving Services,83.193
2010,All Items,Food Serving Services,83.131
2010,All Items,Clothing & Footwear,97.702
2010,All Items,Housing & Utilities,91.639
2010,All Items,Household Durables & Services,84.007
2010,All Items,Health Care,82.388
2010,All Items,Transport,83.324
2010,All Items,Communication,104.807
2010,All Items,Recreation & Culture,94.785
2010,All Items,Education,75.102
2010,All Items,Miscellaneous Goods & Services,94.028
2011,All Items,Food,85.669
2011,All Items,Food Excl Food Serving Services,86.148
2011,All Items,Food Serving Services,85.424
2011,All Items,Clothing & Footwear,97.764
2011,All Items,Housing & Utilities,100.517
2011,All Items,Household Durables & Services,89.203
2011,All Items,Health Care,84.246
2011,All Items,Transport,92.655
2011,All Items,Communication,103.262
2011,All Items,Recreation & Culture,92.487
2011,All Items,Education,77.874
2011,All Items,Miscellaneous Goods & Services,94.825
2012,All Items,Food,87.629
2012,All Items,Food Excl Food Serving Services,88.285
2012,All Items,Food Serving Services,87.276
2012,All Items,Clothing & Footwear,99.144
2012,All Items,Housing & Utilities,109.942
2012,All Items,Household Durables & Services,91.236
2012,All Items,Health Care,87.952
2012,All Items,Transport,99.168
2012,All Items,Communication,103.168
2012,All Items,Recreation & Culture,93.395
2012,All Items,Education,81.034
2012,All Items,Miscellaneous Goods & Services,95.522
2013,All Items,Food,89.468
2013,All Items,Food Excl Food Serving Services,90.335
2013,All Items,Food Serving Services,88.986
2013,All Items,Clothing & Footwear,99.404
2013,All Items,Housing & Utilities,113.646
2013,All Items,Household Durables & Services,95.486
2013,All Items,Health Care,91.308
2013,All Items,Transport,101.435
2013,All Items,Communication,101.699
2013,All Items,Recreation & Culture,94.601
2013,All Items,Education,83.914
2013,All Items,Miscellaneous Goods & Services,96.684
2014,All Items,Food,92.112
2014,All Items,Food Excl Food Serving Services,92.995
2014,All Items,Food Serving Services,91.621
2014,All Items,Clothing & Footwear,98.517
2014,All Items,Housing & Utilities,114.123
2014,All Items,Household Durables & Services,96.886
2014,All Items,Health Care,93.804
2014,All Items,Transport,100.326
2014,All Items,Communication,101.483
2014,All Items,Recreation & Culture,96.43
2014,All Items,Education,86.767
2014,All Items,Miscellaneous Goods & Services,98.033
2015,All Items,Food,93.844
2015,All Items,Food Excl Food Serving Services,94.194
2015,All Items,Food Serving Services,93.649
2015,All Items,Clothing & Footwear,98.677
2015,All Items,Housing & Utilities,110.083
2015,All Items,Household Durables & Services,96.296
2015,All Items,Health Care,93.502
2015,All Items,Transport,99.982
2015,All Items,Communication,101.782
2015,All Items,Recreation & Culture,96.821
2015,All Items,Education,89.525
2015,All Items,Miscellaneous Goods & Services,98.119
2016,All Items,Food,95.734
2016,All Items,Food Excl Food Serving Services,96.319
2016,All Items,Food Serving Services,95.409
2016,All Items,Clothing & Footwear,98.862
2016,All Items,Housing & Utilities,105.428
2016,All Items,Household Durables & Services,97.939
2016,All Items,Health Care,94.483
2016,All Items,Transport,98.025
2016,All Items,Communication,101.368
2016,All Items,Recreation & Culture,97.644
2016,All Items,Education,92.247
2016,All Items,Miscellaneous Goods & Services,98.322
2017,All Items,Food,97.115
2017,All Items,Food Excl Food Serving Services,97.565
2017,All Items,Food Serving Services,96.865
2017,All Items,Clothing & Footwear,99.348
2017,All Items,Housing & Utilities,102.676
2017,All Items,Household Durables & Services,98.769
2017,All Items,Health Care,96.952
2017,All Items,Transport,100.307
2017,All Items,Communication,101.949
2017,All Items,Recreation & Culture,97.871
2017,All Items,Education,94.979
2017,All Items,Miscellaneous Goods & Services,98.239
2018,All Items,Food,98.512
2018,All Items,Food Excl Food Serving Services,98.861
2018,All Items,Food Serving Services,98.317
2018,All Items,Clothing & Footwear,100.711
2018,All Items,Housing & Utilities,101.17
2018,All Items,Household Durables & Services,99.424
2018,All Items,Health Care,98.992
2018,All Items,Transport,99.601
2018,All Items,Communication,100.913
2018,All Items,Recreation & Culture,98.971
2018,All Items,Education,97.698
2018,All Items,Miscellaneous Goods & Services,99.569
2019,All Items,Food,100
2019,All Items,Food Excl Food Serving Services,100
2019,All Items,Food Serving Services,100
2019,All Items,Clothing & Footwear,100
2019,All Items,Housing & Utilities,100
2019,All Items,Household Durables & Services,100
2019,All Items,Health Care,100
2019,All Items,Transport,100
2019,All Items,Communication,100
2019,All Items,Recreation & Culture,100
2019,All Items,Education,100
2019,All Items,Miscellaneous Goods & Services,100
2020,All Items,Food,101.835
2020,All Items,Food Excl Food Serving Services,102.851
2020,All Items,Food Serving Services,101.348
2020,All Items,Clothing & Footwear,95.976
2020,All Items,Housing & Utilities,99.671
2020,All Items,Household Durables & Services,100.289
2020,All Items,Health Care,97.962
2020,All Items,Transport,99.576
2020,All Items,Communication,100.689
2020,All Items,Recreation & Culture,98.45
2020,All Items,Education,98.93
2020,All Items,Miscellaneous Goods & Services,98.861
